id,name,set_code,set_name,rarity,grade,condition,quantity,base_price_NM,price_EX,price_GD,price_LP,price_PO,total_NM_value,total_effective_value,price_source
26157485,Iron Chain Blaster,CSOC-EN019,Crossroads of Chaos,Common,,,2,0.11,0.11,0.11,0.13,0.18,0.22,0.22,cardtrader
26439287,Proto-Cyber Dragon,SDMM-EN014,Machina Mayhem Structure Deck,Common,,,1,0.19,0.17,0.11,0.13,0.11,0.19,0.19,cardtrader
84824601,Botanical Girl,CSOC-EN027,Crossroads of Chaos,Common,,,2,0.29,0.14,0.24,0.24,0.16,0.58,0.58,cardtrader
82116191,Gigantic Cephalotus,CSOC-EN025,Crossroads of Chaos,Common,,,3,0.24,0.11,0.15,0.14,0.13,0.72,0.72,cardtrader
14315573,Negate Attack,DP1-EN027,Duelist Pack: Jaden Yuki,Rare,,,1,0.19,0.54,0.25,0.14,0.11,0.19,0.19,cardtrader
10591919,Morphtronic Scopen,RGBT-EN016,Raging Battle,Common,,,1,0.40,0.25,0.13,0.13,0.14,0.40,0.40,cardtrader
91607976,Morphtronic Clocken,CSOC-EN012,Crossroads of Chaos,Common,,,2,0.29,0.11,0.18,0.18,0.19,0.58,0.58,cardtrader
40640057,Kuriboh,YSD-EN013,Starter Deck 2006,Common,,,1,1.09,0.29,0.11,0.11,0.11,1.09,1.09,cardtrader
21597117,A Hero Emerges,DP1-EN025,Duelist Pack: Jaden Yuki,Common,,,1,0.13,0.11,0.11,0.11,0.11,0.13,0.13,cardtrader
80908502,Elemental HERO Captain Gold,DP06-EN004,Duelist Pack: Jaden Yuki 3,Rare,,,1,3.10,0.60,0.11,0.94,0.97,3.10,3.10,cardtrader
89547299,Power Injector,CSOC-EN021,Crossroads of Chaos,Common,,,3,0.11,0.11,0.17,0.11,0.11,0.33,0.33,cardtrader
12923641,Swords of Concealing Light,SD5-EN031,Structure Deck: Warrior's Triumph,Common,,,1,0.40,0.18,0.18,0.17,0.14,0.40,0.40,cardtrader
89621922,Neo-Spacian Flare Scarab,DP03-EN006,Duelist Pack: Jaden Yuki 2,Rare,,,1,2.55,0.48,1.90,0.37,0.11,2.55,2.55,cardtrader
59793705,Elemental HERO Bladedge,YSD-EN019,Starter Deck 2006,Ultra Rare,,,1,200.64,0.19,0.28,0.13,0.14,200.64,200.64,cardtrader
55119278,Morphtronic Radion,CSOC-EN011,Crossroads of Chaos,Rare,,,1,1.81,5.36,1.31,5.34,0.63,1.81,1.81,cardtrader
97705809,Supercharge,POTD-EN056,Power of the Duelist,Rare,,,1,3.10,0.12,0.18,0.17,0.13,3.10,3.10,cardtrader
45906428,Miracle Fusion,CRV-EN039,Cybernetic Revolution,Rare,,,1,8.72,2.09,2.07,1.95,1.10,8.72,8.72,cardtrader
47829960,Chaosrider Gustaph,SDDE-EN012,The Dark Emperor Structure Deck,Common,,,1,0.20,0.17,0.11,0.11,0.11,0.20,0.20,cardtrader
43642620,Zombie Mammoth,CSOC-EN030,Crossroads of Chaos,Common,,,1,0.15,0.14,0.11,0.11,0.11,0.15,0.15,cardtrader
5285665,Elemental HERO Neo Bubbleman,SOI-EN004,Shadow of Infinity,Common,,,1,0.60,0.11,0.20,0.11,0.11,0.60,0.60,cardtrader
3773196,D.D. Scout Plane,SDDE-EN011,The Dark Emperor Structure Deck,Common,,,3,0.70,0.29,0.11,0.18,0.20,2.10,2.10,cardtrader
14261867,8-Claws Scorpion,GLD1-EN007,Gold Series,Common,,,1,0.22,0.14,0.11,0.19,0.08,0.22,0.22,cardtrader
7572887,D.D. Warrior Lady,SDDE-EN010,The Dark Emperor Structure Deck,Common,,,3,1.10,0.14,0.11,0.14,0.59,3.30,3.30,cardtrader
54493213,Helios - The Primordial Sun,SDDE-EN005,The Dark Emperor Structure Deck,Common,,,1,0.21,0.11,0.11,0.11,0.11,0.21,0.21,cardtrader
30069398,Wall of Ivy,CSOC-EN004,Crossroads of Chaos,Common,,,2,0.19,0.11,0.11,0.11,0.11,0.38,0.38,cardtrader
60682203,Cold Wave,SDZW-EN019,Zombie World Structure Deck,Common,,,1,2.44,3.58,1.10,2.04,1.80,2.44,2.44,cardtrader
89943723,Elemental HERO Neos,POTD-EN001,Power of the Duelist,Common,,,2,0.24,0.23,0.18,0.18,0.16,0.48,0.48,cardtrader
19505896,Nettles,CSOC-EN024,Crossroads of Chaos,Common,,,1,1.03,0.53,1.09,0.24,0.49,1.03,1.03,cardtrader
31828916,Machina Armored Unit,SDMM-EN021,Machina Mayhem Structure Deck,Common,,,1,0.38,0.17,0.11,0.11,0.11,0.38,0.38,cardtrader
80987696,Time Machine,SDMM-EN031,Machina Mayhem Structure Deck,Common,,,1,0.11,0.11,0.11,0.12,0.11,0.11,0.11,cardtrader
82112775,D.D.M. - Different Dimension Master,SDDE-EN015,The Dark Emperor Structure Deck,Common,,,1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,cardtrader
23782705,Machina Sniper,SDMM-EN007,Machina Mayhem Structure Deck,Common,,,1,0.18,0.11,0.11,0.11,0.12,0.18,0.18,cardtrader
63995093,Machine Duplication,SDMM-EN026,Machina Mayhem Structure Deck,Common,,,1,0.80,0.24,0.12,0.19,0.19,0.80,0.80,cardtrader
36733451,Dimensional Alchemist,SDDE-EN002,The Dark Emperor Structure Deck,Common,,,1,2.10,1.09,0.59,2.40,0.49,2.10,2.10,cardtrader
6795211,Teleport,CSOC-EN055,Crossroads of Chaos,Common,,,1,0.11,0.11,0.11,0.18,0.11,0.11,0.11,cardtrader
93542102,Morphtronic Celfon,CSOC-EN006,Crossroads of Chaos,Common,,,1,9.73,0.11,0.64,0.18,2.10,9.73,9.73,cardtrader
29947751,Morphtronic Magnen,CSOC-EN007,Crossroads of Chaos,Common,,,1,0.11,0.18,0.11,0.11,0.18,0.11,0.11,cardtrader
5318639,Mystical Space Typhoon,SD10-EN024,Structure Deck: Machine Re-Volt,Common,,,1,1.13,0.19,0.24,0.11,0.18,1.13,1.13,cardtrader
17732278,Neo-Spacian Glow Moss,DP06-EN003,Duelist Pack: Jaden Yuki 3,Common,,,1,0.33,0.11,0.13,0.11,0.11,0.33,0.33,cardtrader
44729197,Steamroid,CRV-EN008,Cybernetic Revolution,Common,,,3,0.24,0.11,0.11,0.11,0.11,0.72,0.72,cardtrader
74519184,Hand Destruction,TU01-EN014,Turbo Pack: Booster One,Common,,,1,2.22,1.75,0.70,1.22,0.78,2.22,2.22,cardtrader
54959865,Neo-Spacian Air Hummingbird,DP06-EN001,Duelist Pack: Jaden Yuki 3,Common,,,1,0.22,0.11,0.20,0.11,0.11,0.22,0.22,cardtrader
53152590,Iron Chain Coil,CSOC-EN020,Crossroads of Chaos,Common,,,3,0.18,0.11,0.16,0.14,0.18,0.54,0.54,cardtrader
72767833,Card Rotator,CSOC-EN045,Crossroads of Chaos,Common,,,1,0.13,0.11,0.11,0.11,0.14,0.13,0.13,cardtrader
